Tweets,Classification,word_count,char_count,avg_word,stopwords,hastags
oscars soy yo el escenario parece,False,12,78,5.583333333333333,1,0
one notice oscars2019 proscenium stage looks trumps hair,False,14,84,5.071428571428571,4,0
fras99 cancelled seeing truth make delusional,False,17,111,5.588235294117647,8,0
funny watch people failed years got nothing telling negotiate north korea thanks anyway us said tweet,False,32,174,4.46875,12,0
ryanhillmi ryan since usa would say means heart asking friend,False,25,133,4.36,11,0
forced read trumps tweets im following someone retweeted please stop twitter,False,23,123,4.590909090909091,10,0
china trumpbranded spas escort services massage,True,12,100,7.416666666666667,2,0
es candidato al nobel la paz obviamente hay memes,False,14,86,5.214285714285714,1,0
bad news already endorsed 2020 latest poll colorado,False,29,199,5.896551724137931,10,0
trumps secret victory 2020 hispanic voters via politicomag,False,13,98,6.615384615384615,2,0
difference thank potus,False,30,285,8.827586206896552,3,0
america first song via youtube,False,8,62,6.875,0,0
leading jr,False,9,78,7.777777777777778,0,0
could please say could never lol,False,12,70,4.916666666666667,3,0
leave fuck birthday,True,12,61,4.166666666666667,5,0
pagesix hollywood people amazing important must listen socialism thanks hollywood,False,25,166,5.384615384615385,10,0
randomly tweeted tougher venezuela policy based chance meeting wh rubio,False,19,138,6.315789473684211,4,0
serious question since hes elected,True,11,72,5.636363636363637,3,0
tras abandonar su idea un gran desfile militar en washington el presidente anunció este domingo para el día la independencia el 4 julio celebrará uno los mayores eventos en la historia la capital estadounidense,False,43,261,5.093023255813954,0,0
tried reward maralago member billions,False,15,100,6.142857142857143,4,0
la actriz maya rudolph méxico pagará por el muro del presidente en el la ceremonia los premios oscar la academia,False,31,181,4.65625,1,0
uspräsident verschiebt frist im handelsstreit mit china,False,11,94,7.636363636363637,0,0
china approves 38 new trademarks via nbcnews,False,9,69,6.777777777777778,0,0
make stage trumps hairpiece oscars,False,12,83,6.0,5,0
anncoulter god everyone,False,11,75,5.909090909090909,4,0
welcome j vietnam,False,8,62,6.875,1,0
5 days tariffs extends deadline china trade talks via breitbartnews,False,17,120,6.117647058823529,2,0
reporte la hausse des nouvelles taxes sur les produits chinois,False,15,142,7.9375,0,0
six year old little cousin saw picture twitter said nope mine dont black people lmaoooo,True,33,168,4.121212121212121,12,0
please tell people go top tell resign crimes,False,24,125,4.25,13,0
internacional según el 60 los una emergencia la del muro fronterizo el presidente estados unidos,False,28,211,6.535714285714286,1,0
robert kraft jeffrey epstein day reckoning americas billionaires bunch,False,18,122,6.176470588235294,5,0
wants save date july 4 2019,False,13,81,5.3076923076923075,3,0
trade chief dumbs contract term doesnt get tcoo255etntij via yahoonews good god remember even collected memorandum agreement busy know absolutely man knew,False,45,262,4.844444444444444,17,0
nytopinion gracias por nyt opinion méxico tiene gente mucho mas grande lo dice en todos hay problemas pero sabemos sólo discurso con su país,False,38,225,4.947368421052632,1,0
oscars sich das der oscar show von wurde,False,17,98,5.125,0,0
stage years oscars reminiscent trumps toupee theres guy,False,24,140,4.875,12,0
thegoodgodabove white stephen miller yea thats,False,14,96,5.4,5,0
realdonaldtrump personally witnessed plaintiff forced perform various sexual acts j mr epstein mr mr epstein advised 13 years old tiffany doe,True,77,252,4.888888888888889,12,0
nytimes impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,26,162,5.269230769230769,13,0
eugenegu realdonaldtrump one seven twitter users filed lawsuit us july 2017 blocked trumps personal realdonaldtrump account case first amendment institute v dr obsessed isnt healthy,False,46,291,5.191489361702128,14,0
nbcnews remember refund went right trumps lets end republican party good,True,20,130,5.55,6,0
ok needed many people saying always says many people saying,False,18,109,5.111111111111111,4,0
part potus alone back international agreements less trust make deals us takes 1 cancel years negotiations agreements,False,41,224,4.487804878048781,20,0
problem billmaher hes asshole would say mean hes much version,True,31,183,5.1,14,0
oscar2019 oscars stage looks trumps hair,False,9,80,7.0,1,0
friends fake news half new york knew along time ago realdonaldtrump traitor sexual predator human trafficker real fraud amp failure j true,True,35,220,5.314285714285714,7,0
wont possible hell still prison unless russia gets early jr hints could run 2024 tcocbtc1jkwml,False,28,155,4.7407407407407405,9,0
davidcorndc right next doesnt want get bottom russian election,False,18,111,5.222222222222222,5,0
oscars stage proscenium trumps combover,False,10,82,7.3,2,0
years oscars stage inspired trumps hair oscars19,False,13,103,7.0,3,0
rich florida go trumps clubs give money ones influence trumps inner circle hes maduro inside trumps venezuela pivot,False,39,233,5.0,17,0
donaldjtrumpjr personally witnessed plaintiff forced perform various sexual acts j mr epstein mr mr epstein advised 13 years old tiffany doe must proud,True,82,272,4.658536585365853,15,0
para bolsonaro,False,10,76,6.7,1,0
fuck,True,7,49,7.0,0,0
realdonaldtrump personally witnessed plaintiff forced perform various sexual acts j mr epstein mr mr epstein advised 13 years old tiffany doe know alex acosta labor secretary,True,46,265,4.739130434782608,17,0
evil illusions history learned school written people would believe well click read gasp tcoujiuwz3mrj,False,30,199,4.96969696969697,14,0
award set looks trumps goes 2019 oscars congrats everybody oscars oscar2019,False,21,122,5.1,6,0
donaldjtrumpjr daily reminder sr russian asset,False,11,72,5.0,4,0
listening j putin tcofo5jf96k2d bluewave putin,False,18,109,6.571428571428571,4,0
need latter mr need latter,False,12,57,3.8333333333333335,4,0
even trumps biggest supporter id embarrassed tweeted phrase favorite,False,20,122,5.15,7,0
potus issue proclamation independence day greatest 4th july celebration american greatness making america great,False,28,190,5.821428571428571,8,0
berniesanders nicolas maduro tyrant dictator know venezuela thing powers controls everything including electoral college even pick opponents going,False,51,318,5.235294117647059,24,0
wow didnt pro abortion seeing rise cut funding place birth control free,False,30,173,4.8,13,0
china,False,11,77,6.090909090909091,4,0
hillaryclinton needed,False,9,73,7.222222222222222,2,0
realdonaldtrump katiepavlich believe amp absolutely agree wall,False,18,106,5.235294117647059,8,0
cnn impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,26,158,5.115384615384615,13,0
trumps secret victory 2020 hispanic voters via politicomag,False,11,84,6.7272727272727275,2,0
listening j tcofo5jf96k2d bluewave republican,True,26,119,7.230769230769231,4,0
donaldjtrumpjr j sr three children,False,14,85,5.142857142857143,3,0
venezuela home socialism destroyed slowly destroy america,True,15,102,5.866666666666666,7,0
stage piece look trumps hair oscars,False,14,70,4.071428571428571,6,0
announced united states delay tariff increase chinese goods citing substantial progress trade talks two nations,False,26,189,6.0,8,0
please say better lol,False,12,67,4.666666666666667,5,0
witch hunt may burned stake,False,21,120,4.761904761904762,10,0
michaeldelauzon potus really broke past presidents role playing real person thanking god world god bless,False,43,223,4.209302325581396,22,0
oscars proscenium looks trumps hair bad oscars,False,10,62,5.3,1,0
oscars stage remind trumps hair,False,11,58,4.363636363636363,5,0
lawsuit charges raping 13yearold girl via snopes,False,12,87,6.333333333333333,2,0
oscars stage surrounded frame trumps toupee,False,13,69,4.384615384615385,6,0
pre judged hillary clinton guilty pre judged guilty qanon wwg1wga kag2020,False,16,113,6.125,2,0
urocklive1 cancer face america amp whole world world total lies todate american 8718 counting enemy people,True,35,188,4.5,12,0
look college frat theme party clockwork orange malcolm mcdowell played movie serial rapist resisted behavior modification,True,31,201,5.516129032258065,10,0
turned soon started mexico bull jr right waste time also queen,False,28,139,4.0,13,0
trade chief dumbs contract term doesnt get via yahoonews,False,15,102,5.866666666666666,3,0
donaldtrump cc explained technology reality define define reality tv show define define presidency,False,25,228,6.655172413793103,6,0
unable explain fake immigration crime statistics come,False,14,103,6.428571428571429,4,0
record would report least favorite time,False,19,98,4.2105263157894735,9,0
delays tariff hike chinese goods great trade talks,False,13,91,6.076923076923077,2,0
la gente che conta va che ha per rossi non e si con il,False,32,222,5.027027027027027,2,0
hi unroll thread mrandyngo right trumps election splc really stoked panic progay episcopal church indiana vandalized hatehoax trumpsamerica tcodvdoveletx see soon,False,34,232,5.6571428571428575,10,0
believing good believing real mexican restaurant,False,20,140,6.05,5,0
believe hate cant watching game,True,24,125,4.25,12,0
chris christie says called extremely long via feedspot,False,14,106,7.153846153846154,1,0
jussiesmollett theres something judicial branch consequences journalist man j somehow change course msm asked us think needed consequences primary said yes,False,47,276,5.2272727272727275,18,0
je trouve sont contre sur ce estce moi jai à leur dire ce ce va être un très bon entre le et les étatsunis son bout monde,False,46,262,4.717391304347826,0,0
anyone else notice looks trumps hair think secretly homage best ever,False,22,126,4.7727272727272725,7,0
notcapnamerica sent god,False,9,57,5.444444444444445,3,0
trumps hawkish approach venezuela spurred chance oval office encounter via feedspot,False,18,119,6.0,5,0
si vez en algo fue en este tipo little marco,False,18,103,4.777777777777778,1,0
realdonaldtrump collusion,False,4,38,8.75,0,0
trumps friendship hell jeffrey epstein via palmerreport,False,11,92,7.454545454545454,2,0
joenbc yep far worse 40 americans cant see,False,23,119,4.409090909090909,10,0
voted mike pence join find polling place trumptrain,False,20,142,6.15,7,0
big think jr,False,23,98,4.0,11,0
dont lot andor voice also aint bout posing spread front mirror know show always going,False,37,203,4.527777777777778,14,0
russia investigation schiff says hell mueller testify report isnt made public going get bottom going share information public russiagate trumprussia collusion obstruction,False,35,251,5.435897435897436,16,0
abc impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,26,158,5.115384615384615,13,0
oscars stage looks trumps hair,False,8,46,4.875,1,0
gente sabe mais da noite são melhor discurso e melhor oscars,False,20,127,5.095238095238095,3,0
dude spews whole nuffin ignorant father surprise surprise jr hints could run 2024,False,25,157,5.038461538461538,8,0
en este momento quiero tener la mano p los winston churchill la ser presidente venezuela en el en su 11 corra el corra,False,37,250,4.659090909090909,2,0
funder says big fat done nothing lie lie lie country,True,21,107,4.142857142857143,8,0
article covering amendment andor wall likely built atlantic,False,23,138,5.523809523809524,9,0
russia investigation schiff says hell mueller testify report isnt made public going get bottom going share information public russiagate trumprussia collusion obstruction,False,35,251,5.435897435897436,16,0
realdonaldtrump says treasonous russian man sells american nuclear technology personal profit via son law five time draft crook,False,29,187,5.233333333333333,7,0
said looked trumps hair im sure hes thinking right rather tweeting,False,21,123,4.904761904761905,7,0
impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,26,169,5.538461538461538,13,0
margeelder4 42gnome dreadpirate42 enespacio realdonaldtrump potus idiot list long,True,54,584,9.618181818181819,2,0
trade chief dumbs contract term doesnt get tcoo255etntij via yahoonews hasnt done much al nyc tells thug dont cant business,False,48,255,4.425531914893617,19,0
,False,1,18,18.0,0,0
russia investigation schiff says hell mueller testify report isnt made public going get bottom going share information public russiagate trumprussia collusion obstruction,False,35,251,5.435897435897436,16,0
amysiskind yes true maybe differently would horrible behavior sources reporting true sexual assault accused lets,True,50,283,4.68,27,0
davidaxelrod realdonaldtrump isnt hes going service,False,13,82,5.384615384615385,5,0
se lleva un vía youtube pero creo el dia el maduro ni se este tipo era el nuestra gente,False,36,203,4.666666666666667,2,0
russia investigation schiff says hell mueller testify report isnt made public going get bottom going share information public russiagate trumprussia collusion obstruction,False,35,251,5.435897435897436,16,0
oscar stage look trumps hair oscar2019,False,14,72,4.214285714285714,6,0
russia,False,11,44,3.7777777777777777,4,0
afirma corea del norte sin armas podría ser potencia,False,17,181,9.705882352941176,0,0
kylegriffin1 speakerpelosi 30 jump hate crimes hate groups rights created toxic mess time impeach disgrace white house impeach nancy impeach,True,52,294,4.673076923076923,24,0
anyone else think crazy stage oscars looks trumps hair,False,18,110,5.166666666666667,5,0
cultofdusty1 dude hate guy isnt sitting point something percent elite wealthy united states lets pretend thats easily,True,36,252,6.027777777777778,10,0
think history show best america ever never seen others much short time especially media trash every minute every day,False,42,213,4.095238095238095,20,0
ya start laughing thought need well hell next lol wont happen well another realdonaldtrump wonder find one,False,50,289,4.8,25,0
stephenking lol yet another reason luv well said maybe write book im sure would quite,False,31,153,4.1,11,0
isnt sane puerto would vote especially hurricane truly brainwashed stay,False,28,152,5.0,10,0
te gane mejor película una mexicana se antes adam lambert oscars,False,22,132,5.045454545454546,1,0
oscars stage look trumps hair,False,11,74,5.818181818181818,3,0
stage look trumps hair oscars,False,13,69,4.3076923076923075,5,0
anyone else think oscars stage looks trumps toupee,False,13,90,6.0,2,0
dont worry cnn youre breaking news period many many 2nd term j yall need go,True,46,233,4.476190476190476,16,0
el escenario los oscars parece el pelo,False,12,70,4.916666666666667,0,0
mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,44,226,4.159090909090909,23,0
promete dar uno los mayores eventos en la historia washington para el día la independencia eeuu,False,23,160,5.708333333333333,0,0
nytimes impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,26,162,5.269230769230769,13,0
using lack taste laugh,False,14,80,4.785714285714286,6,0
said hell extend deadline raise tariffs chinese goods beyond week citing substantial progress latest round trade talks wrapped sunday washington,False,35,215,5.323529411764706,10,0
ok ill say frame oscars stage looks trumps hair,False,14,74,3.933333333333333,4,0
2020 election,False,6,40,5.833333333333333,1,0
false claim voter fraud border wall said language nice via,False,22,146,5.681818181818182,7,0
nueva al para ha,True,18,117,5.555555555555555,1,0
hes going defense,False,10,81,7.2,2,0
para los han creo la salida final será un público usa pero través ya será través sus después eso la la fan maduro tal vez sea el país tomar caracas,False,51,293,4.388888888888889,7,0
lo con corea del norte ningún otro presidente eeuu lo hubiera antes,False,19,103,4.473684210526316,0,0
china approves trumpbranded spas escort services hotels massage without us congress,True,15,132,7.3125,1,0
el sobre el escenario parece el pelo oscars2019 oscars,False,13,75,4.846153846153846,0,0
fuck mac miller goat,True,11,57,4.2727272727272725,3,0
oscars stage look trumps hair,False,10,54,4.5,3,0
inspired trumps hair red oscar stage white house christmas tree reference oscars,False,26,139,4.75,8,0
trade chief dumbs contract term doesnt get senategop realdonaldtrump ridiculous,False,17,135,7.0,3,0
j fighting sides saved us hillary clinton crime family,False,25,147,4.92,10,0
realdonaldtrump please stay home j need celebrate july 4th,False,18,90,4.5625,5,0
okay cant oscars2019 oscars set chose model stage trumps right,False,23,142,5.217391304347826,9,0
know refused rent black people,True,12,64,4.416666666666667,3,0
trade chief dumbs contract term doesnt get almost embarrassed admit started commercial real estate career using agreement used time get contract fast,False,44,265,5.162790697674419,14,0
lady gaga color cabello igual oscars,True,14,87,5.285714285714286,1,0
okay john bolton elliott abrams fan way convince,False,16,96,5.0625,4,0
fras99 would cancelled,False,9,52,4.888888888888889,3,0
mccabe responds trumps poor mans j edgar hoover slam dont even know means via nbcnews,False,20,119,5.0,4,0
socialism grabbing land border wall money pay wall,False,23,134,5.090909090909091,10,0
nobody better white house j,False,16,95,5.0,5,0
anymore funny group freaks running 2016 republican primary primary sexual offender wannabe dictator smarter thats get paid john pays cant get laid,True,50,295,5.020408163265306,20,0
le gusta eso,False,8,39,4.571428571428571,0,0
stage oscars look trumps hair,False,20,94,3.75,11,0
see ap curious deal took long,False,15,110,6.4,2,0
cuantos años en venezuela cuantos años tiene maduro en el poder porque estados unidos nunca muchas personas dicen el loco se saque maduro,False,34,212,5.264705882352941,1,0
hay se han con han sus para todos eso es bueno,False,25,137,4.52,2,0
many people focus conman along media billionaire rooted vile,False,30,211,6.066666666666666,11,0
somebodys forging nobel peace prize nominations really,False,13,98,6.615384615384615,3,0
us said sunday wants make trade deal beijing great united states china could big news next week two goes well negotiations,False,48,241,4.041666666666667,24,0
trumpın kongreden savunma abd başkanı kongreden bir kez daha savunma abd donaldtrump,False,29,229,7.142857142857143,0,0
steve bannon really knows talking especially comes foreign policy used hate guy thats changed love people including limited,True,40,253,5.3,17,0
social media place give also twitter heres thread twice,False,24,131,4.28,12,0
know hes icon true american hero someone would call walk shoes oh never mind bone spurs isnt,False,35,186,4.470588235294118,11,0
5 days tariffs extends deadline china talks via breitbartnews,False,15,112,6.0,2,0
theoscars stage look trumps hair,False,9,54,5.111111111111111,2,0
anyone else think oscars stage looks trumps hair,False,13,75,4.846153846153846,3,0
trumps friendship hell jeffrey epstein via aka individual one part sex ring,True,20,146,6.35,4,0
benshapiro larryelder realdonaldtrump thought u big,False,14,112,7.071428571428571,3,0
esa verdad como parte la campaña el impeachment podría terminar su presidencia antes el absurdo muro la decidió,False,35,227,5.514285714285714,3,0
john drumpf russian drumpf russian stage name,False,13,93,6.230769230769231,0,0
2016 presidential campaign called border wall january 25 2017 signed executive order us government,False,30,208,5.9,8,0
oscar stage look trumps combover oscars,False,14,72,4.214285714285714,6,0
huge laugh huge idiot j,False,7,59,5.0,2,0
realdonaldtrump making north korea great,False,9,69,6.777777777777778,1,0
podría poner la al para para es un títere eeuu,False,25,133,4.36,3,0
young naughty brutal dictator left country summit brainwashed korean literally cried,False,22,138,5.318181818181818,8,0
set really trumps hair theoscars,False,9,53,5.0,3,0
wanna thank harvey weinstein charles amp drugs general helped improve art thank lot,False,27,156,4.814814814814815,9,0
couldnt hold light j trump2020,False,17,116,5.882352941176471,5,0
realjameswoods impeach committed crime russiancollusian committed democrat resist nwo follow tribunalwatch,False,27,188,6.0,13,0
con la del escenario la oscars19,False,13,84,5.538461538461538,0,0
maddow lawrence mimirocah1 sethabramson 13 years old thats old child accused violently raping underage thing tied beaten raped four times,True,42,279,5.666666666666667,15,0
sarahpalinusa ill stand jesus returns,False,9,62,6.0,2,0
schiff says hell mueller testify report isnt made public,False,13,87,5.769230769230769,3,0
qué pasó la frontera,False,11,95,7.7272727272727275,0,0
sold china could maga kag,False,19,104,5.3125,5,0
realdonaldtrump right lying con man tape oh wait mean 2 years since asked russia find clinton emails via youtube,False,34,180,4.741935483870968,9,0
oscars2019 set look trumps hair show wide shot,False,16,85,4.375,6,0
remember trumps release tax returns unforgivable sin bernie sanders also refused release left,False,32,188,4.90625,14,0
bitch,True,5,23,3.8,2,0
stage looks trumps combover really oscars,False,12,79,5.666666666666667,2,0
bill would bring world peace end without anyone would cause increase jobs tax revenue pelosi would still oppose would make look good,False,46,284,5.195652173913044,14,0
oscars stage looks trumps hair,False,8,47,5.0,1,0
mom amp time said oscars stage set looks trumps hair,False,21,98,3.7142857142857144,8,0
oscar count king 1 0,False,8,40,4.125,0,0
sad true although left hasnt yet fight caused shadow government come hiding government cant serve youre member,True,42,249,4.9523809523809526,16,0
starving person third world country better amy schumer,False,17,100,4.9411764705882355,6,0
loving hairpiece oscars19 oscars academyawards2019,False,9,76,7.555555555555555,1,0
presiden akan untuk dengan korea kim jong un di vietnam pada februari,False,23,153,5.695652173913044,1,0
sees big news china trade talks next week two us said sunday wants make trade deal beijing great united states impeachtrump impeachkavanaugh theresistance,False,45,283,5.311111111111111,16,0
spare minute help,False,10,60,5.1,4,0
asked people hold date big celebration july 4th swift,False,25,159,5.4,10,0
le président les contre ami robert kraft auto pickup wikyou,False,19,127,5.7368421052631575,1,0
democrats constant thank god j,False,17,103,5.117647058823529,4,0
china approves crooked spas happy ending escort services fbrparty maga qanon trumptrain conspiracy potus 4 sale individual1 ccot economy,True,25,227,8.04,0,0
realdonaldtrump john chamberlain,False,6,59,9.0,0,0
tom morello che vi un posto questa ad un hater oscar2019,False,23,164,6.173913043478261,0,0
yes true man wants build wall keep immigrants winning enough latinos get reelected unless democrats figure stop,False,34,188,4.5588235294117645,14,0
bannon said interview sunday win 2020 election bigger 2016 considering didnt win bs bannon predicts victory 2020 political,True,40,267,5.333333333333333,15,0
wonder hate oscars weinstein oscars2019,True,14,89,5.428571428571429,6,0
jguaido esto le señor hoy dirijo usted para solicitarle una intervencion militar se lo ruego cuantos muertos tenemos tener para usted tome la decisión intervenir venezuela por favor ya aguantamos mas cristofer yee,False,48,274,4.934782608695652,4,0
realdonaldtrump bob hour sad always get make home visits bob hes great man j,False,27,151,4.8076923076923075,7,0
lawmakers preview questions cohen testimony week,False,8,76,7.555555555555555,2,0
really hope people oscars thing use 1st amendment rights criticize front crowd absolutely fear oscars resist courage drumpf oscars2019 oscars,True,40,254,5.219512195121951,14,0
live world controls biggest nuclear world enough,False,22,127,4.818181818181818,10,0
quarter people pay attention oscars gave level attention epstein case link would see step tomorrow multiple within hour tcorpzv71qboc,False,45,263,4.866666666666666,20,0
tampa1 bck27 jaketapper cnnpolitics maddow tampa1 need hide full tax returns many times promised going release tax returns tcodotspbium0,False,32,195,5.290322580645161,9,0
j give,False,12,103,7.666666666666667,3,0
dolly parton 73 refuses label feminist admits still mans world holds criticizing unlike 95 costars jane fonda lily tomlin,False,35,202,4.8,13,0
realdonaldtrump secpompeo foxnews j deal le duela quien le duela hes great advantage parties,False,31,200,5.483870967741935,10,0
si la pelicula bohemia rapshody arrasa en los premios oscar los oscar pasarían ser un fraude junto los premios nobel la paz premiando,False,31,160,4.193548387096774,4,0
j jr twitter,False,10,62,5.3,3,0
b list,False,8,49,5.25,4,0
man gary johnson pulled guys still decided vote either hillary clinton instead 2016 youre bc real,False,35,198,4.685714285714286,14,0
amysiskind must make bad nightmare,False,11,80,6.363636363636363,2,0
really hope tom morello says fuck,True,8,46,4.875,0,0
si la pelicula bohemia rapshody arrasa en los premios oscar los oscar pasarían ser un fraude junto los premios nobel la paz premiando,False,31,160,4.193548387096774,4,0
johncornyn sorry already quoted mussolini back 2016,False,12,90,6.583333333333333,2,0
singing theme song via youtube,False,10,84,7.5,0,0
delays tariff hike chinese goods great trade talks chinese laughing,False,24,142,5.409090909090909,7,0
davidaxelrod realdonaldtrump service country maybe likely service,False,18,109,5.411764705882353,8,0
donaldjtrumpjr winner long shot jr role racial divide,True,15,88,4.933333333333334,4,0
quancyclayborne cheese food real cheese real,False,16,96,5.0625,5,0
calls new york times true enemy people really new york times really say hate groups putin isis,True,23,129,4.375,3,0
sees syria afghanistan iraq beyond help waste american lives money venezuela view different,False,23,141,5.173913043478261,8,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
diamondandsilk best hot mic interview j bragging making sexual toward married woman oscars,True,33,295,7.705882352941177,3,0
con qué cara el loco se les hoy los locos asesinos del kkk para otra vez en su maduro,True,32,158,4.096774193548387,3,0
mercilessly mocked salute america announcement senategop senatemajldr lindseygrahamsc,False,13,130,9.076923076923077,2,0
welcome back endorse j prove loyalty,False,11,72,5.083333333333333,3,0
great even grand parents likely rape part story men rape white men history whatever want example say speaking,True,50,250,4.568181818181818,20,0
donaldjtrumpjr potus lfkraus heres fun fact cohen fixer knows everything testifies congress three days good luck trumps lawmakers preview questions cohen testimony week via nbcnews,False,39,285,6.3076923076923075,9,0
donaldjtrumpjr dont forget j good people sides david duke joint,True,19,100,4.555555555555555,6,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
mercilessly mocked salute america announcement dc man believes invented 4th july celebration one twitter user wrote miller,False,25,207,6.428571428571429,5,0
us said sunday wants make trade deal beijing great united states china could big news next week two goes well negotiations,False,48,241,4.041666666666667,24,0
us said sunday wants make trade deal beijing great united states china could big news next week two goes well negotiations,False,48,241,4.041666666666667,24,0
done china approves trumpbranded spas escort services hotels,True,14,104,6.5,4,0
mute jr mueller jared ready,False,20,111,4.6,10,0
cant help notice havent able actually deny things happened youre wrote article youre twitter,False,35,212,5.393939393939394,12,0
null delays new tariffs chinese goods progress trade talks,False,16,103,5.866666666666666,3,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
realdonaldtrump katiepavlich mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,46,255,4.565217391304348,23,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
joenbc time republic finally republicans must allow constitution us benefit amp unable negotiate w congress senategop senatedems,False,42,288,5.604651162790698,18,0
washington post columnist stephen millers biggest border lies columnist washington post picked apart senior white house stephen millers biggest lies immigration u,True,41,286,6.125,10,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
felt alive years j country good way theres tomorrow theres light,False,35,178,4.114285714285714,17,0
good evening america start oscars expected 1 minute first take cheap shot via border wall every celebrity reveal truth would career suicide,True,46,270,4.530612244897959,21,0
realdonaldtrump mr today writing ask military intervention beg many dead take decision intervene venezuela please take anymore cristofer yee venezolano,True,45,242,4.4,23,0
hates,False,10,75,6.6,4,0
